trade_date,open,high,low,close,volume,amount,pct_chg,ma25,ma60,dif,dea,macd
2024-01-19,1496.72,1523.82,1489.28,1521.02,46378.43,7550144.389,1.5,1540.76,1580.49,-18.04,-15.16,-5.76
2024-01-22,1515.44,1528.47,1506.03,1527.54,46945.89,7678297.836,0.43,1541.35,1580.25,-16.32,-15.39,-1.86
2024-01-23,1518.24,1525.63,1496.84,1506.14,34834.9,5659457.115,-1.4,1540.46,1579.59,-16.5,-15.62,-1.76
2024-01-24,1515.44,1519.94,1491.78,1512.65,33216.35,5373603.703,0.43,1539.34,1578.98,-15.93,-15.68,-0.5
2024-01-25,1513.41,1526.61,1508.93,1523.81,31205.8,5094508.165,0.74,1538.9,1577.07,-14.41,-15.42,2.02
2024-01-26,1516.71,1529.49,1509.86,1523.18,26954.75,4402111.882,-0.04,1537.69,1575.18,-13.1,-14.96,3.72
2024-01-29,1525.95,1544.82,1525.95,1534.98,31420.68,5189014.946,0.77,1536.92,1573.0,-10.99,-14.17,6.36
2024-01-30,1534.96,1534.96,1497.77,1500.56,30866.33,5010784.454,-2.24,1534.72,1570.24,-11.96,-13.72,3.52
2024-01-31,1500.56,1507.04,1486.72,1493.03,29649.12,4770104.891,-0.5,1532.3,1567.67,-13.18,-13.62,0.88
2024-02-01,1493.58,1510.69,1489.39,1497.79,26485.15,4272298.576,0.32,1530.18,1565.07,-13.61,-13.61,0.0
2024-02-02,1502.42,1514.31,1470.79,1484.74,39382.02,6336691.194,-0.87,1525.38,1562.31,-14.83,-13.86,-1.94
2024-02-05,1484.74,1523.29,1484.04,1516.38,53130.36,8590683.071,2.13,1521.81,1560.37,-13.09,-13.7,1.22
2024-02-06,1516.38,1567.98,1512.74,1559.17,52472.04,8740646.588,2.82,1521.47,1559.31,-8.17,-12.6,8.86
2024-02-07,1563.85,1595.07,1545.78,1591.72,52601.07,8899606.867,2.09,1522.11,1558.78,-1.62,-10.4,17.56
2024-02-08,1600.11,1604.75,1567.54,1587.07,46756.54,7953438.044,-0.29,1523.48,1558.06,3.16,-7.69,21.7
2024-02-19,1616.72,1616.78,1570.33,1577.24,36977.44,6288277.98,-0.62,1524.68,1557.37,6.08,-4.94,22.04
2024-02-20,1579.04,1579.04,1541.08,1553.58,34470.07,5755266.893,-1.5,1525.64,1556.38,6.41,-2.67,18.16
2024-02-21,1549.88,1610.33,1546.14,1597.92,46154.07,7868784.082,2.85,1528.5,1556.0,10.14,-0.11,20.5
2024-02-22,1588.47,1602.9,1581.99,1598.59,22793.61,3905984.695,0.04,1531.36,1555.21,13.0,2.52,20.96
2024-02-23,1591.83,1604.17,1581.51,1594.6,27305.89,4670706.95,-0.25,1533.87,1554.48,14.77,4.97,19.6
2024-02-26,1588.94,1589.62,1567.56,1576.82,27318.32,4625594.409,-1.11,1535.8,1553.38,14.57,6.89,15.36
2024-02-27,1565.68,1574.91,1561.03,1571.72,22079.85,3718478.358,-0.32,1537.64,1552.34,13.84,8.28,11.12
2024-02-28,1571.19,1578.3,1557.31,1564.33,31867.31,5371312.847,-0.47,1539.21,1551.39,12.52,9.13,6.78
2024-02-29,1564.33,1578.24,1562.14,1576.84,24758.33,4184917.973,0.8,1543.6,1550.55,12.34,9.77,5.14
2024-03-01,1572.19,1576.81,1559.8,1567.59,26867.96,4526845.398,-0.59,1546.36,1549.48,11.33,10.08,2.5
2024-03-04,1561.96,1563.81,1553.63,1559.44,26484.77,4434401.015,-0.52,1547.9,1548.01,9.75,10.01,-0.52
2024-03-05,1554.34,1578.7,1550.5,1576.93,36238.37,6102136.582,1.12,1549.87,1547.31,9.8,9.97,-0.34
2024-03-06,1573.12,1576.84,1561.04,1563.4,22142.48,3725582.802,-0.86,1552.16,1546.53,8.65,9.71,-2.12
2024-03-07,1562.89,1572.0,1561.03,1566.26,21599.12,3633934.774,0.18,1554.31,1546.44,7.87,9.34,-2.94
2024-03-08,1563.41,1569.1,1553.63,1554.91,22156.23,3710678.522,-0.72,1555.55,1546.25,6.27,8.73,-4.92
2024-03-11,1558.24,1580.45,1556.54,1576.37,29895.09,5048394.347,1.38,1557.68,1546.46,6.66,8.31,-3.3
2024-03-12,1575.86,1627.17,1572.65,1623.36,54226.54,9393309.052,2.98,1561.21,1547.39,10.63,8.78,3.7
2024-03-13,1618.68,1626.15,1600.19,1607.03,26499.54,4588879.42,-1.01,1565.47,1548.14,12.32,9.49,5.66
2024-03-14,1599.17,1613.9,1592.19,1596.96,19404.79,3338768.308,-0.63,1569.63,1548.55,12.7,10.13,5.14
2024-03-15,1593.12,1611.63,1592.66,1597.76,17833.58,3066692.399,0.05,1573.63,1549.73,12.92,10.69,4.46
2024-03-18,1595.45,1599.96,1580.56,1589.18,26055.01,4446059.13,-0.54,1577.81,1551.14,12.26,11.0,2.52
2024-03-19,1584.28,1600.04,1575.08,1588.95,23947.53,4093701.261,-0.01,1580.71,1552.41,11.58,11.12,0.92
2024-03-20,1584.62,1594.22,1581.71,1590.42,15249.25,2604543.856,0.09,1581.96,1553.44,11.04,11.1,-0.12
2024-03-21,1589.03,1599.17,1585.68,1589.87,16595.97,2839332.631,-0.04,1581.89,1554.27,10.44,10.97,-1.06
2024-03-22,1586.17,1589.86,1570.33,1582.75,25456.14,4318592.818,-0.45,1581.71,1555.07,9.29,10.63,-2.68
2024-03-25,1580.13,1580.35,1563.43,1571.27,24472.85,4131446.237,-0.73,1581.47,1555.36,7.36,9.98,-5.24
2024-03-26,1569.83,1593.4,1569.83,1590.14,28069.07,4782899.074,1.2,1582.94,1555.96,7.28,9.44,-4.32
2024-03-27,1586.14,1592.66,1580.56,1582.42,18112.58,3087792.98,-0.48,1582.32,1556.41,6.51,8.85,-4.68
2024-03-28,1576.84,1598.24,1575.17,1583.02,24642.18,4201857.059,0.04,1581.69,1556.9,5.88,8.26,-4.76
2024-03-29,1583.02,1591.72,1579.73,1584.19,13456.55,2290584.417,0.07,1581.28,1557.46,5.42,7.69,-4.54
